Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
620000.0,3.0,4769.0,4,15,2017,130.0,66.0,16.0,Саперне Поле,Печерський,48.0
420000.0,2.0,4667.0,5,18,2017,90.0,37.0,14.0,Саперне Поле,Печерський,39.0
295000.0,2.0,4275.0,5,15,2019,69.0,49.0,20.0,Саперне Поле,Печерський,0.0
540000.0,4.0,4000.0,4,14,2019,135.0,37.0,14.0,Саперне Поле,Печерський,84.0
128000.0,1.0,2510.0,2,9,2015,51.0,15.0,25.0,Саперне Поле,Печерський,11.0
205000.0,1.0,3796.0,13,14,2017,54.0,18.0,25.0,Саперне Поле,Печерський,11.0
750000.0,3.0,5000.0,10,14,2017,150.0,95.0,18.0,Саперне Поле,Печерський,37.0
219000.0,1.0,3776.0,2,9,2019,58.0,20.0,20.0,Саперне Поле,Печерський,18.0
255000.0,4.0,2024.0,16,25,2016,126.0,70.0,15.0,Саперне Поле,Печерський,41.0
229000.0,3.0,2140.0,7,25,2007,107.0,50.0,14.0,Героїв Сталінграда,Оболонський,43.0
136000.0,3.0,1462.0,2,16,1998,93.0,50.0,28.0,Героїв Сталінграда,Оболонський,15.0
145000.0,2.0,1933.0,5,24,2007,75.0,44.0,14.0,Героїв Сталінграда,Оболонський,17.0
280000.0,3.0,2137.0,8,9,2005,131.0,75.0,25.0,Героїв Сталінграда,Оболонський,31.0
98500.0,3.0,1449.0,5,9,1980,68.0,43.0,10.0,Героїв Сталінграда,Оболонський,15.0
150000.0,3.0,1829.0,5,12,1997,82.0,42.0,9.0,Героїв Сталінграда,Оболонський,31.0
275000.0,3.0,2644.0,5,24,2008,104.0,70.0,14.0,Героїв Сталінграда,Оболонський,20.0
145000.0,2.0,1686.0,17,23,2005,86.0,48.0,12.0,Героїв Сталінграда,Оболонський,26.0
76000.0,3.0,1086.0,6,9,1980,70.0,34.0,10.0,Героїв Сталінграда,Оболонський,26.0
110000.0,2.0,2000.0,3,9,1971,55.0,37.0,14.0,Тарасівська,Голосіївський,4.0
92900.0,3.0,1021.0,4,5,1956,91.0,56.0,11.0,Краківська,Дніпровський,24.0
83000.0,2.0,1107.0,10,26,2019,75.0,30.0,27.0,Краківська,Дніпровський,18.0
77500.0,1.0,1845.0,5,9,2018,42.0,17.0,15.0,Юнацька,Святошинський,10.0
129999.0,2.0,2063.0,6,9,2018,63.0,30.0,15.0,Юнацька,Святошинський,18.0
125000.0,2.0,1866.0,4,9,2018,67.0,37.0,14.0,Юнацька,Святошинський,16.0
121860.0,2.0,1741.0,2,9,2018,70.0,45.0,14.0,Юнацька,Святошинський,11.0
57000.0,3.0,851.0,5,9,1985,67.0,37.0,14.0,Маяковського,Деснянський,16.0
170000.0,2.0,1932.0,3,9,2005,88.0,44.0,22.0,Дмитрівська,Шевченківський,22.0
268000.0,4.0,1381.0,18,20,2010,194.0,93.0,35.0,Дмитрівська,Шевченківський,66.0
84999.0,4.0,885.0,7,16,1986,96.0,37.0,13.0,Миропільська,"Деснянський, Дніпровський",46.0
70000.0,3.0,729.0,4,4,1946,96.0,37.0,14.0,Вишгородська,"Подільський, Оболонський",45.0
120000.0,3.0,1395.0,10,24,2009,86.0,40.0,17.0,Вишгородська,"Подільський, Оболонський",29.0
76800.0,3.0,985.0,2,5,1958,78.0,78.0,9.0,Вишгородська,"Подільський, Оболонський",0.0
85000.0,1.0,1518.0,7,14,2009,56.0,20.0,14.0,Вишгородська,"Подільський, Оболонський",22.0
46500.0,2.0,1011.0,5,5,1963,46.0,31.0,7.0,Вишгородська,"Подільський, Оболонський",8.0
36000.0,1.0,1200.0,5,9,2009,30.0,13.0,10.0,Жолудєва,Святошинський,7.0
210000.0,3.0,1409.0,7,12,2001,149.0,87.0,16.0,Павлівська,Шевченківський,46.0
180000.0,2.0,1915.0,4,10,2005,94.0,45.0,15.0,Павлівська,Шевченківський,34.0
85900.0,3.0,1263.0,6,8,1964,68.0,47.0,6.0,Голосіївський,Голосіївський,15.0
59000.0,2.0,1157.0,2,12,1981,51.0,37.0,14.0,Голосіївський,Голосіївський,0.0
63000.0,3.0,1125.0,5,5,1965,56.0,42.0,6.0,Голосіївський,Голосіївський,8.0
484000.0,2.0,3569.0,2,24,2010,69.0,37.0,14.0,Голосіївський,Голосіївський,18.0
229000.0,3.0,1684.0,2,24,2013,136.0,72.0,20.0,Голосіївський,Голосіївський,44.0
108000.0,1.0,2160.0,2,25,2019,50.0,30.0,10.0,Осокорська,Дарницький,10.0
113300.0,3.0,1218.0,15,21,2009,93.0,55.0,11.0,Осокорська,Дарницький,27.0
50700.0,1.0,1300.0,6,14,2019,39.0,25.0,8.0,Максимовича,Святошинський,6.0
79700.0,1.0,2952.0,23,23,2012,27.0,15.0,5.0,Максимовича,Святошинський,7.0
74000.0,1.0,1762.0,3,16,2009,42.0,37.0,14.0,Максимовича,Святошинський,0.0
138000.0,2.0,2300.0,13,14,2017,60.0,30.0,10.0,Максимовича,Святошинський,20.0
109000.0,3.0,1253.0,7,16,2009,87.0,37.0,14.0,Максимовича,Святошинський,36.0
89000.0,2.0,1413.0,12,14,2013,63.0,37.0,11.0,Максимовича,Святошинський,15.0
95000.0,3.0,1234.0,16,25,2017,77.0,45.0,12.0,Максимовича,Святошинський,20.0
127900.0,2.0,1776.0,13,24,2017,72.0,35.0,17.0,Максимовича,Святошинський,20.0
92000.0,3.0,965.0,1,25,2009,69.0,48.0,16.0,Ясинуватський,Голосіївський,5.0
97000.0,2.0,1260.0,16,22,2018,77.0,37.0,14.0,Ясинуватський,Голосіївський,26.0
480000.0,4.0,2609.0,5,6,1915,184.0,108.0,34.0,Велика Васильківська,"Голосіївський, Шевченківський, Печерський",42.0
135000.0,4.0,1688.0,5,5,1959,80.0,55.0,15.0,Велика Васильківська,"Голосіївський, Шевченківський, Печерський",10.0
170000.0,3.0,2068.0,4,5,1910,69.0,37.0,14.0,Велика Васильківська,"Голосіївський, Шевченківський, Печерський",18.0
55000.0,1.0,1618.0,5,33,2009,34.0,37.0,9.0,Велика Васильківська,"Голосіївський, Шевченківський, Печерський",0.0
115000.0,2.0,2170.0,7,7,1961,53.0,35.0,14.0,Велика Васильківська,"Голосіївський, Шевченківський, Печерський",4.0
170000.0,2.0,2656.0,5,7,1948,64.0,37.0,9.0,Велика Васильківська,"Голосіївський, Шевченківський, Печерський",18.0
86860.0,2.0,905.0,10,10,2017,96.0,44.0,23.0,Центральна,Дніпровський,29.0
69000.0,1.0,1643.0,8,10,2018,42.0,12.0,20.0,Центральна,Дніпровський,10.0
55000.0,2.0,1222.0,13,16,1980,45.0,37.0,11.0,Райдужна,Дніпровський,0.0
